Name,ID,Quote,Description,Quality
A Pony,5.100.130,Flight + dash attack,"Passively grants flight and increases speed to 1.5. Upon use, Isaac charges in the direction the pony is facing, giving invulnerability during the charge and dealing damage to enemies hit.",2
Anarchist Cookbook,5.100.65,Summon bombs,Spawns six   Troll Bombs around the room.,1
Best Friend,5.100.136,Friends 'till the end,Spawns a decoy Isaac that explodes after 5 seconds. Enemies will always target the decoy and ignore Isaac.,1
Blank Card,5.100.286,Card mimic,Copies the effect of the card or rune currently held by Isaac. Copies the effect of the card currently held by Isaac. The charge time is based on the power of the card.,2
Blood Rights,5.100.186,Mass enemy damage at a cost,"Upon use, takes a full heart of health and deals 40 damage to all enemies in the room.  Repeated uses in the same room only take half a heart.",0
Bob's Rotten Head,5.100.42,Reusable ranged bomb,"Upon use, Isaac holds a poison  Bomb which can be thrown in the cardinal directions and explodes on impact.",1
Book of Revelations,5.100.78,Reusable soul protection,"Increases the chance of a  Devil Room /  Angel Room appearing while held. On use, gives one   Soul Heart, and replaces the boss of the current floor with a Harbinger if possible.",3
Book of Secrets,5.100.287,Tome of knowledge,"Gives the effect of  Treasure Map,  The Compass, or  Blue Map for the duration of the current floor.  If all effects are active,   X-Ray Vision is provided for the floor instead. Highlights any Tinted Rocks and rocks with  Crawl Space in the room.",1
Book of Shadows,5.100.58,Temporary invincibility,"Creates a protective shield, nullifying all types of damage in the current room for 10 seconds.",3
Box of Spiders,5.100.288,It's a box of spiders,Spawns 1-4 Blue Spiders that deal 2.5x damage to enemies. Spawns 4-8 Blue Spiders that deal 2x damage to enemies.,1
Breath of Life,5.100.326,Invincibility at a cost,"Grants a brief moment of invincibility when the charge bar hits zero. Isaac begins taking damage if the item is held any longer.  Isaac creates beams of light when touching enemies while invulnerable, and creates a powerful 4-way beam if blocking damage exactly as the invincibility starts.",1
Butter Bean,5.100.294,Reusable knock-back,"Upon use, Isaac farts and knocks back nearby enemies  and projectiles.  Enemies pushed into walls or obstacles take 12 damage.",1
Converter,5.100.296,Convert your soul,Converts two   Soul Hearts or   Black Hearts into one filled   Red Heart Container. Converts one   Soul Heart or   Black Heart into one filled   Red Heart Container.,2
Crack the Sky,5.100.160,Holy white death,"Summons 5 beams of light in random locations on the ground, dealing large amounts of damage to any enemies that touch them.",2
Crystal Ball,5.100.158,I see my future,"Upon use, reveals the map (except the  Super Secret Room) and drops a   Soul Heart or random card/rune.",3
D10,5.100.285,Reroll enemies,Re-rolls all monsters in the room. Replaces all monsters in the room with weaker monsters.,1
D100,5.100.283,REEROLLLLL!,"Combines the effects of  D4,  The D6, and  D20. Combines the effects of  D1,  D4,  The D6,  D7,  D8,  D10,  D12, and  D20.",3
D20,5.100.166,Reroll the basics,Rerolls all pickups in the current room.,2
D4,5.100.284,Reroll into something else,Rerolls all of Isaac's passive items.,2
Dad's Key,5.100.175,Opens all doors...,"Upon activation, opens all doors in the current room in almost all circumstances, including doors which require a   Key to open, entrances to  Secret Rooms, and the door to   Mega Satan.",2
Dead Sea Scrolls,5.100.124,It's a mystery,Triggers the effect of a random activated item from a list of possible options (not every activated item is included).,1
Deck of Cards,5.100.85,Reusable card generator,Gives Isaac a random card.,2
Doctor's Remote,5.100.47,Reusable air strike,"Creates a crosshair on the ground that can be aimed with tear controls. A missile strikes the spot after 2 seconds, creating a heavy damage explosion.",1
Flush!,5.100.291,...,Turns all non-boss monsters in the room into   Poop. Instantly kills poop-themed bosses.,1
Forget Me Now,5.100.127,I don't remember...,"On use, re-generates the current floor with a new layout. Isaac loses Forget Me Now, but keeps other items and consumables picked up on the original floor.",3
Guppy's Head,5.100.145,Reusable fly hive,Spawns 2-4 friendly Blue Flies that damage enemies.,2
Guppy's Paw,5.100.133,Soul converter,"Upon use, converts one Red Heart Container into three   Soul Hearts.",3
Head of Krampus,5.100.293,Krampus rage,"Fires a powerful  Brimstone beam in four cardinal directions, much like   Krampus shoots.
 Fires a powerful  Brimstone beam in four cardinal directions, much like   Krampus shoots with a 50% chance to rotate all beams around Isaac 90 degrees.",2
How to Jump,5.100.282,It's time you learned how,"Upon use, Isaac jumps in the direction he is currently moving, allowing travel over obstacles and enemies.",1
Isaac's Tears,5.100.323,Collected tears,"Fires 8 tears around Isaac, which retain the damage, range, shot speed, and special tear effects of his tears. Each tear shot by Isaac increases item charge by one.  Tears from this item have a +5 flat damage bonus.",1
IV Bag,5.100.135,Portable blood bank,"Upon use, Isaac loses half a heart of health (or a full heart in Chapter 4 onward) for a random amount of coins, similar to a  Blood Donation Machine.",1
Kamikaze!,5.100.40,Become the bomb!,"Creates an explosion around Isaac, damaging him and nearby enemies as well as destroying obstacles.",0
Lemon Mishap,5.100.56,Oops...,"Creates a tiny pool of yellow creep, damaging enemies that cross it.",0
Magic Fingers,5.100.295,Pay to win,Uses 1   Penny to deal damage to all enemies in the room.,1
Mom's Bottle of Pills,5.100.102,Reusable pill generator,"On use, gives Isaac a random pill.",1
Mom's Bra,5.100.39,Mass paralysis,Petrifies all enemies in the current room for 4 seconds.,1
Mom's Pad,5.100.41,Mass fear,Inflicts fear to all enemies in the room for 4 seconds.  Spawns a blue fly.,0
Monster Manual,5.100.123,Temporary buddy generator,Spawns a familiar from a specific selection for the current room. Spawns a familiar from a specific selection for the current floor.,1
Monstro's Tooth,5.100.86,Summon Monstro,"A friendly   Monstro jumps on a random enemy, dealing 120 area damage. Targets Isaac if used in a room without enemies.",1
Mr. Boom,5.100.37,Reusable bomb buddy,Places a  Mr. Mega  Bomb that deals 110 damage. Places a  Mr. Mega  Bomb that deals 185 damage.,1
My Little Unicorn,5.100.77,Temporary badass,"Gives invulnerability and +0.28 speed for six seconds, removing the ability to shoot tears and replacing it with the ability to deal contact damage to enemies.",1
Notched Axe,5.100.147,Rocks don't stand a chance,"Isaac destroys obstacles and opens  Secret Rooms by walking into them, but cannot shoot or pick up items until it's cancelled. Toggles between tears and the pickaxe, which can be swung to attack and break obstacles. Using it depletes the charge, and it can't be used until next floor once the charge runs out.",1
Pandora's Box,5.100.297,? ?,"Upon use, spawns specific pickups or items depending on the floor it is used on. Disappears after use.",2
Portable Slot,5.100.177,Gamble 24/7,"Upon use, consumes 1   Penny and has a chance to drop a random pickup, like a  Slot Machine.",0
Prayer Card,5.100.146,Reusable eternity,Gives an   Eternal Heart per use.,3
Razor Blade,5.100.126,Feel my pain,Takes one   Heart of health and grants +1.2 damage for the current room.  Repeated uses in the same room only take half a heart.,0
Red Candle,5.100.289,Flame on,"Throws out a flame that damages everything in its path, diminishing in size as it hits enemies or blocks shots.",2
Remote Detonator,5.100.137,Remote bomb detonation,Bombs placed by Isaac only explode when Remote Detonator is used. Gives 5 bombs.,1
Satanic Bible,5.100.292,Reusable evil... but at what cost?,Gives one   Black Heart.  Replaces the boss room item on the current floor with a Devil Deal.,4
Scissors,5.100.325,Lose your head,Turns Isaac's head into a stationary familiar for the current room which fires tears automatically.  Isaac's body also shoots a controllable fountain of blood shots for the room.,1
Shoop Da Whoop!,5.100.49,BLLLARRRRGGG!,Fires a laser from Isaac's mouth.,2
Spider Butt,5.100.171,Mass enemy slowdown + damage,Deals 10 damage to all enemies in the room and slows them for 4 seconds.  Enemies killed by Spider Butt spawn Blue Spiders.,1
Tammy's Head,5.100.38,Reusable tear burst,"Shoots 10 tears in a circle around Isaac, which retain the damage, range, shot speed, and special effects (such as poison) of Isaac's tears. Tears from this item have a +25 flat damage bonus.",2
Telepathy for Dummies,5.100.192,Temporary psychic shot,Gives homing tears for the current room.  Also gives +3 range.,1
Teleport!,5.100.44,Teleport!,Teleports Isaac to a random room on the current floor.,0
The Bean,5.100.111,Toot on command,"Isaac farts, poisoning any enemy in close range.",0
The Bible,5.100.33,Temporary flight,"On use, Isaac gains flight for the current room. Instantly kills  Mom,  Mom's Heart, and  It Lives when activated, but kills Isaac when used on  Satan.",1
The Book of Belial,5.100.34,Temporary DMG up,+2 damage for the current room. Passively guarantees a  Devil Room or  Angel Room will appear while held. +2 damage for the current room. Passively increases the chance of finding a  Devil Room or  Angel Room while held.,2
The Book of Sin,5.100.97,Reusable item generator,"Generates a random pickup, pill, card, or rune.",2
The Boomerang,5.100.338,It will never leave you,"Throws a boomerang which retrieves pickups, as well as damages and petrifies enemies hit for 2 seconds.",1
The Candle,5.100.164,Reusable flames,"Throws out a flame that damages everything in its path, diminishing in size as it travels.",2
The D6,5.100.105,Reroll your destiny,"Re-rolls all items in the current room into other items, depending on the current room's Item Pool.",4
The Gamekid,5.100.93,Temporary Man-Pac,"Turns Isaac into a Pac-Man-like creature for 6.5 seconds, granting invulnerability, inflicting fear on all enemies, and has a chance of replenishing a   Half Red Heart every time an enemy is killed.",1
The Hourglass,5.100.66,Temporary enemy slowdown,All enemies in the room are slowed for 8 seconds.,1
The Jar,5.100.290,Save your life,"When at full health, up to 4 extra   Red Hearts can be stored in The Jar. Activating drops the stored hearts on the ground.",0
The Nail,5.100.83,Temporary demon form,"Gives one   Soul Heart. For the current room; +0.7 damage, -0.18 speed, Isaac breaks rocks and deals contact damage. Gives half a   Black Heart. For the current room; +2 damage, -0.18 speed, Isaac breaks rocks and deals contact damage.",2
The Necronomicon,5.100.35,Mass room damage,Deals 40 damage to every enemy in the room.,1
The Pinking Shears,5.100.107,Cut and run,"Separates Isaac's head from his body for the current room, granting flight and turning the body into a familiar that chases enemies.",2
The Poop,5.100.36,Plop!,Spawns a pile of   Poop where Isaac is standing and knocks back nearby enemies. May yield pickups like regular poop.,0
Undefined,5.100.324,Undefined,"Teleports Isaac to the  Secret Room,  Super Secret Room,  Treasure Room, or  I AM ERROR.",2
Unicorn Stump,5.100.298,You feel stumped,"Gives invulnerability and increased speed for six seconds, but removes the ability to shoot tears.",1
We Need to Go Deeper!,5.100.84,Reusable level skip,"Creates a trapdoor to go to the next floor.  Once per floor, using it on tiles with special graphics will instead create a  Crawl Space.",2
White Pony,5.100.181,Flight + holy death,"Passively grants flight and increases speed to 1.5. Upon use, Isaac charges in the direction the pony is facing, giving invulnerability during the charge while also creating damaging beams of light.",2
Yum Heart,5.100.45,Reusable regeneration,Restores one full   Red Heart.,1
Box of Friends,5.100.357,Double your friends,"Duplicates all of Isaac's familiars for the current room. If Isaac has no familiars, spawns a  Demon Baby for the room instead.",1
D12,5.100.386,Rerolls rocks,Re-rolls all Rocks and Metal Blocks in the current room into other random obstacles. Re-rolls most types of Obstacles in the current room into other random obstacles.,1
D7,5.100.437,Roll again,"Restarts the current room and brings back all enemies, allowing more rewards to be acquired by completing the room.",1
D8,5.100.406,Reroll stats,"Re-rolls Isaac's damage, tears, range, and speed.",2
Diplopia,5.100.347,Double item vision,Duplicates all pickups and item pedestals in the room.,3
Friendly Ball,5.100.382,Gotta fetch 'em all!,"Throwing the ball at a monster instantly kills and captures it. The captured enemy can later be released and will be friendly, fighting for Isaac and persisting between rooms.",1
Glass Cannon,5.100.352,Be gentle...,"Fires a high-damage piercing spectral tear, but lowers Isaac's health to half a heart. Fires a high-damage piercing spectral tear. If Isaac takes damage while holding this, he takes extra damage and it becomes  Broken Glass Cannon.",1
Glowing Hourglass,5.100.422,Turn back time,"Rewinds time, putting Isaac back in the previous room and undoing anything that happened in the current room.  Can only be used three times per floor, after which it functions like The Hourglass until the next floor.",3
Jar of Flies,5.100.434,Bug catcher,"Killing an enemy adds a fly to the jar, up to a maximum of 20. On use, releases Blue Flies equal to the number of flies in the jar.",2
Kidney Bean,5.100.421,Love toots!,"Isaac farts, charming all nearby enemies.",1
Mega Bean,5.100.351,Giga fart!,"Petrifies all enemies in the current room for about 1.5 seconds, poisons any enemies near Isaac, and sends a rock wave across the room in the direction Isaac is facing.",1
Mega Blast,5.100.441,Laser breath,"Upon use, Isaac fires a laser similar to the one used by   Mega Satan. This laser deals massive damage, lasts for approximately 15 seconds, and persists between rooms. Isaac is pushed backwards by the force of the laser while it is active.",4
Mine Crafter,5.100.427,Booom!,"Places a   Movable TNT barrel that can be pushed and used to destroy rocks or damage enemies. If used again in the same room while the previous TNT barrel is still intact, remotely detonates the TNT.",1
Mom's Box,5.100.439,What's inside?,"Increases luck by 1 and doubles the effects of trinkets while held. When used, drops a random trinket on the ground.",2
Placebo,5.100.348,Pill mimic,"When used, copies the effect of the pill Isaac is currently holding without consuming it. Does not copy the effects of cards or runes.",2
Tear Detonator,5.100.383,Remote tear detonation!,"When used, will detonate any tears currently on the screen and cause each one to split into 6 more tears which will fire in a circle, similar to Tammy's Head.",1
Teleport 2.0,5.100.419,I-Teleport!,"Teleports Isaac to a room that has not been explored yet. Normal rooms are prioritized over special rooms, and common special rooms take priority over rarer ones.",3
Ventricle Razor,5.100.396,Short cutter,"Can be used to place an orange portal and a blue portal. Upon entering a portal, Isaac is teleported to the other portal.",1
Wooden Nickel,5.100.349,Flip a coin,"When used, has a 50% chance to drop a random coin.",1
Black Hole,5.100.512,Nothing can escape,Throws a black hole on the ground which sucks in and damages enemies.,1
Book of the Dead,5.100.545,Rise from the grave,"Creates a friendly  Bony,   Black Bony, or an orbital bone for each enemy killed in the current room.Creates a friendly  Bony,   Black Bony,   Bone Fly,   Revenant or an orbital bone for each enemy killed in the current room.",3
Broken Shovel,5.100.550,It feels cursed,"While held, causes Mom to continuously attempt to stomp on Isaac. Activating makes her stop for the current room or wave. One of two parts necessary to create Mom's Shovel.",4
Brown Nugget,5.100.504,Friendly fly,Spawns a stationary fly turret that fires tears at nearby enemies.,0
Clicker,5.100.482,Change,Transforms Isaac into a random character and removes the last item collected.,0
Compost,5.100.480,Gain more friends!,"Doubles Isaac's Blue Flies and Blue Spiders, or spawns one if Isaac has none. Converts pickups in the current room into Blue Flies or Blue Spiders.",1
Coupon,5.100.521,Allow 6 weeks for delivery,"While held, guarantees one item in every  Shop will be on sale. On use, makes a random item in the current room free.",2
Crooked Penny,5.100.485,50/50,"Spawns a penny and has a 50% chance to double all items and pickups in the room. If the effect fails, the items and pickups disappear.",2
D Infinity,5.100.489,Reroll forever,"Grants a random die item that changes each use. Acts as any die item, and can by cycled by pressing the drop key.",4
D1,5.100.476,What will it be?,"Duplicates a random pickup in the room.  The new pickup may be different than the original (i.e. a different card, etc).",2
Dataminer,5.100.481,109,"Displaces enemy sprites for the current room, randomly increases one stat and decreases another.",0
Delirious,5.100.510,Unleash the power!,Spawns   Delirium as a random friendly boss that fights for Isaac.,1
Dull Razor,5.100.486,I feel numb...,"Hurts Isaac without depleting health, activating any items that trigger upon taking damage.",1
Eden's Soul,5.100.490,...,Spawns two item pedestals then is consumed. Begins with no charges.,3
Mama Mega!,5.100.483,BOOOOOOOOOM!,Damages all enemies and destroys all obstacles. The effect occurs every time a new room is entered for the rest of the floor. Opens the doors to the floor's Secret Rooms and Super Secret Rooms.,3
Metronome,5.100.488,Waggles a finger,Grants a random item effect for the current room.,1
Mom's Shovel,5.100.552,Lost but not forgotten,Creates a trapdoor that leads to the next floor upon activation. Unlocks   The Forgotten when used on a mound of dirt that appears in  Dark Room.,4
Moving Box,5.100.523,Pack and unpack,"If the box is empty, picks up items and pickups in a room and stores them. If the box is not empty, places all stored items and pickups in the current room.  Can carry up to 10 items or pickups at once.",1
Mr. ME!,5.100.527,Caaan do!,Summons a controllable ghost that can perform various tasks depending on what it targets.,3
Mystery Gift,5.100.515,Wrapped up nice for you!,"Upon use, spawns a random item from the current room's item pool, with a chance to spawn  A Lump of Coal or  The Poop instead.",3
Pause,5.100.478,Stop!,Freezes all enemies until a fire button is pressed.,1
Plan C,5.100.475,My last resort,"Kills all enemies in the room, then kills Isaac three seconds later.",0
Potato Peeler,5.100.487,A pound of flesh,"Removes a Heart Container, increases damage and range, and grants a Cube of Meat.",2
Sacrificial Altar,5.100.536,He demands a sacrifice,Sacrifices up to 2 familiars and spawns an item for each familiar sacrificed. Converts all friendly spiders and flies into coins.,2
Sharp Straw,5.100.507,More blood!,Damages all enemies in the room. Has a chance to drop a   Half Red Heart or   Half Soul Heart if an enemy is hit.,2
Smelter,5.100.479,Trinket melter!,Consumes Isaac's currently held trinket and applies its effect permanently.,2
Sprinkler,5.100.516,Sprinkles.,"Upon use, creates a stationary sprinkler that rotates and fires tears in 8 directions. The tears copy Isaac's stats and most tear effects.",2
Telekinesis,5.100.522,Power of the mind,"Upon use, for the next three seconds, any enemy shots that come near Isaac are held in place and then later reflected.",1
Void,5.100.477,Consume,"Consumes all pedestal items in the room. Active items will have their effects added to Void, and passive items will grant random stat upgrades.",4
Wait What?,5.100.484,I can't believe it's not butter bean!,"Isaac farts, sending out rock waves.",1
Abyss,5.100.706,Come forth from the depths,Destroys all items in the room and gives Isaac a unique locust familiar for each item destroyed. Some items generate locusts with special effects.,4
Alabaster Box,5.100.585,A sacred offering,"Spawns three   Soul Hearts and two  Angel Room items and is consumed. Starts with no charges, and can only be charged by picking up 6 Soul Hearts.",2
Anima Sola,5.100.722,Repent,"Chains down the nearest enemy for 5 seconds, preventing them from acting.",3
Bag of Crafting,5.100.710,Make your destiny,"Collects and holds up to 8 pickups, which can then be used to craft an item. The power level of the item is based on the quality of pickups used.",3
Berserk!,5.100.704,Rip and tear,"Causes Isaac to go berserk for 5 seconds, greatly increasing his speed, tears, and damage, but restricting him to using a melee weapon instead of his tears. This item charges by dealing damage to enemies instead of clearing rooms.",2
Book of Virtues,5.100.584,Spiritual companionship,"On use, spawns a destroyable orbiting wisp familiar that fires tears and deals contact damage. Also acts as a passive item that causes other active items to spawn themed wisps.",3
Broken Glass Cannon,5.100.474,You broke it!,Begins with no charges and turns into  Glass Cannon when used. Only acquired by taking damage while holding Glass Cannon.,0
Clear Rune,5.100.263,Rune mimic,Has the same effect as the rune or soul stone currently held by Isaac.,2
Damocles,5.100.577,A king's fortune... but at what cost?,"Spawns a sword above Isaac's head, which doubles all item pedestals. After Isaac takes damage, the sword can randomly fall at any point, instantly killing him.",2
Dark Arts,5.100.705,One with the shadows,"Briefly grants +1 speed and makes Isaac invulnerable and intangible. When the effect ends, destroys all projectiles and damages all enemies Isaac ran through.",2
Death Certificate,5.100.628,Where am I?,"Takes Isaac to an abandoned and expanded version of  Home, which has one copy of every item in the game. After taking an item, Isaac returns to the room he used Death Certificate in.",4
Decap Attack,5.100.729,Chuck away!,"Throws Isaac's head, which is still able to fire tears at the spot it lands. Reactivating the item or stepping on the head reattaches it.",2
Eraser,5.100.638,Erase thy enemy,"Throws an eraser that instantly kills the first monster it hits, and prevents that monster from spawning for the rest of the run. Can only be used once per floor.",2
Esau Jr.,5.100.703,Lost brother,"Swaps between the current character and Esau Jr., who has +2 flat damage and flight. Characters have independent items and health. Dying as either character ends the run.",2
Eternal D6,5.100.609,???,Rerolls all items in the room. Each item has a 25% chance to disappear instead.,3
Everything Jar,5.100.720,Anything is possible,"Spawns certain pickups based on how many charges it has. If fully charged, instead has one of many unique effects.",3
Flip,5.100.711,Twist of fate,"Item pedestals have a second uninteractable ""ghostly"" item behind them. Activating will flip the real and ghostly items around. If playing as   Tainted Lazarus, also flips between them and   Dead Tainted Lazarus.",4
Fortune Cookie,5.100.557,Reusable fortunes,"Gives Isaac a fortune,   Soul Heart, Card, Rune, or trinket, similar to a  Fortune Telling Machine. Fortunes are much more likely to be given than anything else.",2
Free Lemonade,5.100.578,Party time!,Creates a large pool of yellow creep beneath Isaac.,1
Friend Finder,5.100.687,Best friends forever!,Spawns a random friendly monster that mimics Isaac's movements and attacks.,3
Gello,5.100.728,Demonic gestation,"Spawns a demon familiar that's attached to Isaac and moves and fires in the direction Isaac shoots, using Isaac's damage, tears, range, shot speed, and special tear effects.",3
Genesis,5.100.622,In the beginning,"Removes all of Isaac's items and pickups and takes him to a unique Bedroom with some pickups and  Chests and a trapdoor to the next floor. For every item Isaac lost, he gets to take an item from a set of three.",3
Golden Razor,5.100.555,Pain from gain,Spends five   Pennies to increase Isaac's damage by 1.2 for the current room.,1
Hold,5.100.715,Saved for later,"Exclusive to   Tainted ???. Allows him to save one poop bomb for later, allowing him to gather more over time.",0
Jar of Wisps,5.100.685,Your faith grows,"Spawns random wisps that shoot various tears, block shots, and deal contact damage. The number of wisps spawned increases every time the jar is used.",2
Keeper's Box,5.100.719,Portable shop,Spawns a random shop item or pickup which can be bought for its normal price.,2
Larynx,5.100.611,Hear my pain,"Isaac shouts, damaging and pushing away nearby enemies. The shout gets stronger the more charges the item has. Can also be charged by taking damage.",2
Lemegeton,5.100.712,Item summoner,"Spawns a wisp representing a random passive item, which orbits Isaac but can be destroyed. While the wisp is alive, Isaac gains that item's effects. Generation uses the current room's item pool 25% of the time, otherwise a random pool.",3
Magic Skin,5.100.642,All your desires fulfilled,"Consumes one heart container or two   Soul Hearts to spawn an item and give Isaac a broken heart container that can never be filled. If Magic Skin isn't being held after being used, it is very likely to replace any future items.",2
Meat Cleaver,5.100.631,Slice but no dice,Splits all enemies in the room into two smaller versions of themselves with much less health.,1
Mega Mush,5.100.625,I'm a big boy now!,"Gigantifies Isaac for 30 seconds, increasing damage and range while lowering tears, granting invulnerability, and allowing Isaac to crush enemies and obstacles he walks on. The effect persists between rooms.",4
Mom's Bracelet,5.100.604,Mother's strength,"Lets Isaac pick up and throw rocks,   TNT,   Poops, friendly Dips,   Bombs, and other obstacles.",1
Plum Flute,5.100.650,Play time!,Summons the boss   Baby Plum to fight for Isaac in the current room.,1
R Key,5.100.636,Time to start over,"Brings Isaac back to the first floor of a new run, retaining all of his items.",4
Recall,5.100.714,Come back,Retrieves the Forgotten's body from any distance. Only available as the  Birthright effect for   Tainted Forgotten.,0
Red Key,5.100.580,Explore the other side,"Creates a  Red Room adjacent to a viable wall, indicated by the outline of a door. These rooms have a 10% chance to be a special room.",3
Sharp Key,5.100.623,Open your enemies,"Adds 5   Keys on pickup. Allows Isaac to throw his keys to deal damage to enemies, destroy obstacles, and open doors.",1
Spin to Win,5.100.655,Let it rip!,"When used, gives Isaac +0.5 speed and greatly increases the rotation speed of Isaac's orbitals for 3 seconds. Gives Isaac a spinning top orbital that blocks enemy shots and deals contact damage to enemies while held.",1
Spindown Dice,5.100.723,-1,Transforms all items in the room by decreasing their internal ID number.,4
Stitches,5.100.635,Bait and switch,"Passively spawns a familiar that moves in the direction Isaac shoots. On use, Isaac swaps places with the familiar.",1
Sulfur,5.100.556,Temporary demon form,Grants  Brimstone for the current room.,3
Sumptorium,5.100.713,Blood to blood,"Removes half a heart and creates a Clot familiar that mimics Isaac's movements and tear effects. As   Tainted Eve, passively converts health into Clots while firing. Activating returns all Clots to health.",3
Suplex!,5.100.709,Angel breaker,"Isaac dashes forward and picks up the first enemy hit. After a moment, he slams them into the ground to deal damage and create a circular rock wave.",2
The Scooper,5.100.605,Plop!,"Summons  The Peeper for the current room, which leaves a trail of red creep.",1
Urn of Souls,5.100.640,Unleash their sorrow,"Spews a stream of damaging flame. Gains Soul Charges each time an enemy dies, which are used to fuel the urn.",3
Vade Retro,5.100.653,Begone!,"While held, enemies leave behind ghosts on death. Using the item causes the ghosts to explode, dealing damage to nearby enemies. Stronger enemies leave bigger ghosts. Ghost enemies and bosses are also destroyed if this is used while they have less than half HP.",2
Wavy Cap,5.100.582,Tears up. A mind changing experience!,"Increases fire rate, decreases speed, and distorts the screen. All effects become more pronounced with repeated use, and wear off by clearing rooms.",1
Yuck Heart,5.100.639,Gross!,Gives Isaac a   Rotten Heart.,1
